TP_LINGUA;NU_NOTA_MT;NU_NOTA_CH;NU_NOTA_CN;NU_NOTA_LC;NU_CORRETAS_MT;NU_CORRETAS_CH;NU_CORRETAS_CN;NU_CORRETAS_LC;TX_COERENCIA_MT;TX_COERENCIA_CH;TX_COERENCIA_CN;TX_COERENCIA_LC;CO_PROVA_MT;CO_PROVA_CH;CO_PROVA_CN;CO_PROVA_LC
1;428.5;463.3;409.6;450.8;11;11;9;14;101000001000000001010100010010010001000100022;110000011010001110001000000000100000000001002;010110100000100000000000000011000000101002222;100000001000001110000000010001111100000010101;1078.0;1056.0;1087.0;1066.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;485.4;nan;479.8;0;14;0;20;;100100000110000101001000011001100100010001002;;101101010010000001001101000001111111001000101;nan;1178.0;nan;1182.0
0;465.9;460.2;486.1;429.6;16;15;10;11;110001110011000000000011000100001000110010122;100000100100001000001000010101100001000101112;000000000110010001100000000000100010100002222;000000001001000001011010001001001001000000001;1076.0;1055.0;1086.0;1065.0
1;488.9;454.0;544.1;407.1;11;10;13;13;100000010010010100000010000000100000100100122;100010000001000000100101100010000001000010002;100010000110000000000100000011001101001002222;000100000000111010001100110000000001000001101;1076.0;1055.0;1086.0;1065.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;460.8;473.5;522.3;448.5;9;13;11;12;001010000000000100010000100000010100001000022;000000011000010100100010011100000010001001002;010010001010111000000001000100000000100002222;000101000010001000000100000110000000110000111;1075.0;1057.0;1085.0;1068.0
0;nan;621.1;nan;548.7;0;27;0;24;;111101001101100001011111001100110111001101012;;001110101110001011100100111101100110001000111;nan;1058.0;nan;1067.0
1;404.3;476.9;370.0;458.7;7;15;8;13;000000000010000000001000000011000100001000022;010000011001010001110000000110100000011001002;010100000000001001000000001000010100000102222;010110000010000000000110001010100010100000101;1075.0;1057.0;1085.0;1068.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;398.9;479.3;399.7;511.2;8;11;7;19;100000010000001000100000010001000100000010022;000000001100000100101101000010101100000000002;110000000100000010000000000000000010000102222;111001011000000011001001001011010001011000011;1077.0;1058.0;1088.0;1067.0
1;657.5;608.6;427.5;517.6;16;28;7;19;010100011010010001010110000100100100001101022;111011101111010001111001010111101000001111112;000000000010000000101000000100010000100002222;101010011000000000010101101100111100110000101;1076.0;1055.0;1086.0;1065.0
0;472.2;519.0;426.7;471.3;13;16;11;16;001101010010000000111001000000001001000010022;000000110100001111011100000010011100000101002;100000010000100001010101000000100010110002222;001100011100110000000101101010000011010000100;1077.0;1058.0;1088.0;1067.0
0;573.2;416.8;464.8;381.8;14;8;12;10;100000001000000011111010000000010000010100122;001010100000001000000001001010000100000000002;110000000110000010000110101000000010100012222;001000000100010000001000001000001000010011100;1076.0;1055.0;1086.0;1065.0
1;nan;332.0;nan;360.1;0;4;0;9;;000000000000000000000000000000000001000101002;;010100100000000101000000000000000000010111000;nan;1058.0;nan;1067.0
0;656.0;560.1;512.5;540.5;14;22;12;22;010000000001001001000101010001000111000011022;110000111101001011000000001111111010111010002;110001100011000000000000000010000000010012222;001000001101010100110011111001010101101110100;1078.0;1056.0;1087.0;1066.0
0;467.6;480.0;416.5;480.1;10;16;11;17;010001000101000000011000011000000000000011022;110100001011001000100100111101010000000010002;010000011000010001000000000000000001011012222;010001011001110100010010001000100100011010010;1078.0;1056.0;1087.0;1066.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;617.0;550.0;404.8;525.7;15;17;9;23;100010010001110000000101001010100000011010022;100010011010011000110010100000101000000001112;010100001100000001000010001000100001000002222;011100000110010101110101010000101011111000111;1075.0;1057.0;1085.0;1068.0
0;464.3;489.5;494.4;448.9;11;14;12;13;100101001000100110000000100000100000001100022;100000100110000011001010100110001010000001002;010100000001001000100001001100000001110002222;111011001100010010000101010000000010000000000;1077.0;1058.0;1088.0;1067.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;446.2;452.1;499.7;495.6;7;10;10;19;000001000001000000010001000010001000001000022;010000010000000000000010000000100010011101102;000000100001100000001010011001000010000002222;010001001010101000101110011111010000100000110;1075.0;1057.0;1085.0;1068.0
0;nan;503.5;nan;559.7;0;15;0;24;;010000010000010011000010101000110010001101002;;010111001110011101111111010010010000110100100;nan;1057.0;nan;1068.0
0;715.9;593.9;586.6;582.3;22;23;17;27;011011010000000011111011011111000000000011122;000101111111001110011110000010011000110011002;010011001001000101011010001000000011101102222;011100101110011010011011001111101101001011011;1077.0;1058.0;1088.0;1067.0
1;415.0;539.0;406.1;517.1;11;18;5;21;111010001101000010010000000100001000000000022;111000101001001100011100000001011001100100002;001001000000000010100000000000000100000002222;111000000100101110001010100001100110110010111;1078.0;1056.0;1087.0;1066.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;458.8;482.4;386.3;357.7;9;14;6;7;000101000000010000000000100000111000011000022;110000110001100000000001101001000110010001002;000000000000100000010000000000011001000102222;001001000000001000000110000010000000000001000;1075.0;1057.0;1085.0;1068.0
1;517.8;564.7;527.2;563.5;11;21;15;24;000000010000000001010010001000100011001000022;100100010111001011111100000010011010010001012;001000000001111101101010000010010100000102222;001101011011111000101111010101110000010000111;1075.0;1057.0;1085.0;1068.0
